screenWidth 1350;screenHeight 699;cornerX 406;cornerY 80;centerX 675;centerY 349;externalRadius 269;internalRadius 189;borderRadius 1;cursorRadius 16;indexOfDifficulty 30.48013297950948;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];autoStart 3600;cycleMaxNumber 6;cycleDuration 20;software LSL-mouse;version 1.1.0;task CircularTarget;isWithLSL false
2020-06-13 12:12:21.974

timestamp,mouseX,mouseY,mouseInTarget
1592043145044,486.0,229.0,1.0
1592043145049,489.0,224.0,1.0
1592043145052,491.0,222.0,1.0
1592043145059,494.0,214.0,1.0
1592043145070,498.0,208.0,1.0
1592043145093,503.0,201.0,1.0
1592043145102,514.0,190.0,1.0
1592043145107,522.0,184.0,1.0
1592043145118,530.0,180.0,1.0
1592043145124,538.0,176.0,1.0
1592043145126,540.0,174.0,1.0
1592043145136,547.0,172.0,1.0
1592043145138,550.0,169.0,1.0
1592043145143,557.0,166.0,1.0
1592043145146,559.0,165.0,1.0
1592043145152,566.0,162.0,1.0
1592043145155,568.0,160.0,1.0
1592043145160,575.0,157.0,1.0
1592043145164,577.0,156.0,1.0
1592043145170,584.0,153.0,1.0
1592043145173,586.0,151.0,1.0
1592043145184,594.0,146.0,1.0
1592043145190,599.0,142.0,1.0
1592043145192,600.0,140.0,1.0
1592043145201,607.0,137.0,1.0
1592043145208,611.0,132.0,1.0
1592043145210,612.0,131.0,1.0
1592043145215,616.0,129.0,1.0
1592043145219,618.0,128.0,1.0
1592043145225,622.0,124.0,1.0
1592043145229,624.0,124.0,1.0
1592043145235,627.0,122.0,1.0
1592043145238,628.0,121.0,1.0
1592043145247,634.0,118.0,1.0
1592043145255,638.0,117.0,1.0
1592043145265,642.0,117.0,1.0
1592043145276,649.0,117.0,1.0
1592043145284,653.0,117.0,1.0
1592043145287,654.0,117.0,1.0
1592043145293,659.0,117.0,1.0
1592043145296,661.0,117.0,1.0
1592043145300,670.0,117.0,1.0
1592043145312,682.0,117.0,1.0
1592043145320,692.0,117.0,1.0
1592043145331,706.0,117.0,1.0
1592043145339,716.0,117.0,1.0
1592043145340,720.0,117.0,1.0
1592043145345,731.0,117.0,1.0
1592043145350,736.0,117.0,1.0
1592043145355,747.0,120.0,1.0
1592043145359,752.0,120.0,1.0
1592043145365,762.0,123.0,1.0
1592043145366,768.0,125.0,1.0
1592043145374,778.0,128.0,1.0
1592043145376,783.0,132.0,1.0
1592043145386,797.0,140.0,1.0
1592043145397,812.0,148.0,1.0
1592043145401,822.0,155.0,1.0
1592043145404,828.0,158.0,1.0
1592043145411,838.0,165.0,1.0
1592043145415,842.0,168.0,1.0
1592043145420,852.0,177.0,1.0
1592043145422,856.0,180.0,1.0
1592043145433,872.0,190.0,0.0
1592043145439,882.0,199.0,0.0
1592043145441,884.0,203.0,0.0
1592043145450,897.0,215.0,0.0
1592043145461,906.0,227.0,0.0
1592043145469,914.0,237.0,0.0
1592043145471,916.0,241.0,0.0
1592043145475,923.0,250.0,0.0
1592043145480,925.0,252.0,0.0
1592043145486,931.0,262.0,0.0
1592043145488,932.0,265.0,0.0
1592043145496,935.0,273.0,0.0
1592043145498,937.0,277.0,0.0
1592043145505,940.0,286.0,0.0
1592043145507,941.0,289.0,0.0
1592043145514,943.0,296.0,0.0
1592043145516,944.0,301.0,0.0
1592043145526,945.0,306.0,0.0
1592043145530,945.0,309.0,0.0
1592043145534,946.0,315.0,0.0
1592043145535,946.0,318.0,0.0
1592043145546,946.0,327.0,0.0
1592043145550,946.0,333.0,0.0
1592043145552,946.0,337.0,0.0
1592043145562,946.0,345.0,0.0
1592043145564,946.0,348.0,0.0
1592043145569,944.0,358.0,0.0
1592043145571,943.0,362.0,0.0
1592043145578,941.0,370.0,0.0
1592043145581,938.0,376.0,0.0
1592043145588,935.0,387.0,0.0
1592043145591,933.0,393.0,0.0
1592043145596,924.0,408.0,0.0
1592043145599,922.0,412.0,0.0
1592043145606,915.0,425.0,1.0
1592043145610,912.0,431.0,1.0
1592043145616,906.0,442.0,1.0
1592043145618,904.0,445.0,1.0
1592043145625,902.0,455.0,1.0
1592043145627,901.0,459.0,1.0
1592043145635,898.0,471.0,0.0
1592043145646,894.0,479.0,0.0
1592043145654,893.0,484.0,0.0
1592043145657,893.0,487.0,0.0
1592043145660,890.0,493.0,0.0
1592043145665,889.0,495.0,0.0
1592043145671,885.0,502.0,0.0
1592043145676,884.0,504.0,0.0
1592043145680,880.0,510.0,0.0
1592043145682,878.0,513.0,0.0
1592043145693,868.0,523.0,0.0
